user_id,transaction_date,region,product_category,sale_amount,price,city,store_id,status,age,subscription,raw_timestamp,email,username
1082,2025-02-08,West,Electronics,6588.07,2918.11,Chennai,S001,Completed,43,Basic,2025-02-08 12:41:00,user1082@example.com,user1082
1108,2025-01-16,East,Sports,7586.9,1989.44,Chennai,S001,Pending,34,Basic,2025-01-16 18:07:00,user1108@example.com,user1108
1078,2025-05-24,West,Sports,4612.51,496.18,Mumbai,S010,Completed,55,Premium,2025-05-24 21:11:00,user1078@example.com,user1078
1198,2025-03-22,South,Furniture,2468.16,3497.98,Chennai,S002,Cancelled,49,Basic,2025-03-22 14:37:00,user1198@example.com,user1198
1073,2025-06-05,South,Clothing,6081.41,2449.93,Hyderabad,S011,Completed,64,Standard,2025-06-05 02:07:00,user1073@example.com,user1073
1080,2025-03-29,South,Sports,6395.45,,Mumbai,S005,,60,Standard,2025-03-29 22:22:00,user1080@example.com,user1080
1079,2025-06-15,South,Furniture,5761.36,1741.56,Jaipur,S006,Pending,55,Premium,2025-06-15 18:43:00,user1079@example.com,user1079
1073,2025-02-03,South,Grocery,7342.85,840.17,Kolkata,S009,Cancelled,24,Basic,2025-02-03 23:15:00,user1073@example.com,user1073
1106,2025-04-02,South,Clothing,1292.28,1167.46,Chennai,S001,,53,Premium,2025-04-02 21:56:00,user1106@example.com,
1107,2025-05-17,North,Clothing,5554.9,3091.79,Hyderabad,S008,,41,Basic,2025-05-17 11:39:00,user1107@example.com,user1107
1102,2025-01-16,East,Grocery,1382.2,272.35,Hyderabad,S010,Pending,50,Premium,2025-01-16 06:04:00,user1102@example.com,user1102
1018,2025-02-23,East,Furniture,7648.2,2376.02,Mumbai,S014,,45,Basic,2025-02-23 19:24:00,user1018@example.com,user1018
1026,2025-03-29,South,Clothing,4179.04,4760.58,Pune,S003,Completed,64,Standard,2025-03-29 23:16:00,user1026@example.com,user1026
1023,2025-06-28,North,Clothing,2910.0,2712.42,Pune,S011,Pending,55,Premium,2025-06-28 08:33:00,user1023@example.com,user1023
1189,2025-02-28,South,Furniture,5874.93,3952.67,Jaipur,S005,Pending,60,Standard,2025-02-28 06:33:00,user1189@example.com,user1189
1185,2025-03-31,East,Electronics,1892.08,1029.82,Hyderabad,S008,Cancelled,57,Premium,2025-03-31 11:05:00,user1185@example.com,user1185
1099,2025-02-21,East,Grocery,6334.17,4006.11,Kolkata,S008,,63,Premium,2025-02-21 15:56:00,user1099@example.com,user1099
1032,2025-01-08,South,Clothing,4931.43,2377.04,Pune,S003,Pending,17,Premium,2025-01-08 04:37:00,user1032@example.com,user1032
1026,2025-05-15,East,Grocery,7893.74,4370.8,Hyderabad,S005,Pending,34,Standard,2025-05-15 23:59:00,user1026@example.com,user1026
1066,2025-05-20,East,Electronics,7289.13,2296.22,Kolkata,S014,Pending,50,Premium,2025-05-20 13:53:00,user1066@example.com,
1112,2025-02-16,East,Clothing,1218.32,610.48,Hyderabad,S006,,65,Premium,2025-02-16 19:00:00,user1112@example.com,user1112
1048,2025-03-12,West,Sports,3672.19,,Mumbai,S008,Cancelled,55,Standard,2025-03-12 01:49:00,user1048@example.com,user1048
1070,2025-04-26,South,Sports,7537.86,4383.91,Bengaluru,S015,Pending,44,Premium,2025-04-26 16:34:00,user1070@example.com,user1070
1080,2025-01-19,South,Electronics,1780.25,620.53,Delhi,S012,Cancelled,25,Basic,2025-01-19 21:15:00,user1080@example.com,user1080
1056,2025-01-25,South,Clothing,7919.98,815.72,Kolkata,S009,,37,Basic,2025-01-25 12:56:00,user1056@example.com,user1056
1184,2025-04-04,South,Grocery,5654.9,2591.99,Bengaluru,S009,Completed,23,Premium,2025-04-04 00:21:00,user1184@example.com,user1184
1067,2025-03-11,East,Furniture,6070.63,4249.44,Bengaluru,S007,Pending,50,Standard,2025-03-11 01:57:00,user1067@example.com,user1067
1022,2025-03-13,East,Grocery,7172.75,93.99,Mumbai,S013,Cancelled,21,Standard,2025-03-13 01:51:00,user1022@example.com,user1022
1031,2025-04-27,South,Furniture,5011.46,,Chennai,S002,Pending,32,Premium,2025-04-27 00:21:00,user1031@example.com,user1031
1160,2025-03-20,East,Furniture,3620.93,1359.91,Hyderabad,S005,Completed,16,Premium,2025-03-20 16:48:00,user1160@example.com,user1160
1048,2025-05-12,South,Electronics,5300.73,3285.98,Kolkata,S009,Cancelled,60,Premium,2025-05-12 15:15:00,user1048@example.com,user1048
1180,2025-06-12,North,Electronics,6712.21,,Bengaluru,S007,Pending,19,Premium,2025-06-12 04:25:00,user1180@example.com,user1180
1129,2025-06-21,East,Furniture,457.38,1352.49,Hyderabad,S005,Cancelled,37,Standard,2025-06-21 09:38:00,user1129@example.com,
1079,2025-02-25,West,Furniture,3114.85,2518.79,Chennai,S004,Completed,21,Basic,2025-02-25 11:11:00,user1079@example.com,user1079
1150,2025-01-11,North,Furniture,5074.39,4788.61,Delhi,S011,,64,Basic,2025-01-11 12:01:00,user1150@example.com,user1150
1072,2025-06-08,West,Sports,5055.92,4062.97,Delhi,S015,Completed,59,Standard,2025-06-08 20:09:00,user1072@example.com,user1072
